id	 artist	 title	 date	 materials	 address	 description	 type	 url1	 url2	 loc_lat	, loc_long
ID_00083	 Nicole Robson for MADE	 MADE	 2011	 <Null>	 Cnr Macquarie & Argyle Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/0b9ac357-83b9-4a54-813b-9f4b00efb9c3/9106_2.jpg	 http://www.hobartcity.com.au/files/49e6537b-c0d1-45e0-aa58-9f4b00efba1c/9106_detail.jpg	 -42.88204264244135	 147.3313680745744
ID_00084	 The Pigeons of Hobart	 Lucy Hawthorne	 2012	 <Null>	 Cnr Campbell & Macquarie Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/78436bc0-d98e-4b91-a669-a08d00f0c7a5/9107_north-corner_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/01477fbf-164e-4665-8db7-a08d00f0ea0d/9107_south-side_w430_h620_Small.jpg	 -42.88072666151513	 147.3324478010635
ID_00085	 Crazy Flower Pattern	 Juanita Morris & Marcel Fantini	 2012	 <Null>	 Cnr Campbell & Collins Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/8951a6d5-1a74-442b-81a0-a0b001009cc4/9108_2Small.jpg	 http://www.hobartcity.com.au/files/3d80ca80-4bf6-4bde-bfb3-a0b001008229/9108_1_Small.jpg	 -42.88010566686118	 147.3316359532766
ID_00086	 Hands on Tasmania	 Hands on English class, Tasmanian Polytechnic	 2012	 <Null>	 Cnr Argyle & Liverpool Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/5db37860-285d-4fc9-80fc-a08d00f0fddd/9109_front_Small.jpg	 http://www.hobartcity.com.au/files/910ae2d1-7b0b-4c54-898a-a08d00f1118c/9109_side_1_Small.jpg	 -42.8801740065739	 147.3283030901578
ID_00087	 Holiday Time	 Oakdale Services	 2011	 <Null>	 Holiday Time	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/ae182903-ea16-4076-ba4c-9f4b00efba83/9110_front.jpg	 http://www.hobartcity.com.au/files/952ca042-3e5b-413e-a519-9f4b00efbadc/9110_side.jpg	 -42.88106497576714	 147.3299596807074
ID_00088	 From darkness we all can find the light	 Create Foundation and Reclink	 2011	 <Null>	 Cnr Macquarie and Elizabeth Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/5e8506fb-12b9-408e-b4aa-9f4b00efbb35/9111_2.jpg	 http://www.hobartcity.com.au/files/69108ba5-ea69-4025-aa00-9f4b00efbb98/91111.jpg	 -42.88282688918648	 147.3299787902823
ID_00089	 Desma Pacitto	 TasCare Society for Children	 2011	 <Null>	 Cnr Murray & Collins	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/306ed138-956c-4059-9078-9f4b00efbbf5/9112_1.jpg	 http://www.hobartcity.com.au/files/7eca1ff8-be28-4e26-b9dc-9f4b00efbc4e/9112_2.jpg	 -42.88199637365013	 147.3288957932892
ID_00090	 Reclink - Phillip McKay, Headway	 Such is Life	 2011	 <Null>	 Cnr Liverpool & Murray Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/a6c0e3e9-88d7-49e4-bde3-9ffa00ec78a7/9113_a.jpg	 http://www.hobartcity.com.au/files/bcfcca85-030a-47ae-b8fb-9ffa00ec8d29/9113_b.jpg	 -42.88257046346956	 147.3255162030298
ID_00091	 Risdon Prisoners with assistance from RecLink	 At What Cost?	 2011	 <Null>	 Cnr Elizabeth & LIverpool Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/5ba528ce-b64b-4605-80bb-9f4b00efbcb1/9114_1.jpg	 http://www.hobartcity.com.au/files/1ce05306-d382-44db-acd5-9f4b00efbd0f/9114_2.jpg	 -42.88126675829872	 147.3269330962386
ID_00092	 Sam Fenton	 Courage	 2012	 <Null>	 Cnr Elizabeth & Collins Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/92a3d13a-4ef7-433d-b747-a0b00100aeac/9115_2_Small.jpg	 http://www.hobartcity.com.au/files/7a0d3592-bb35-4c77-81de-a0b00100c3a3/9115_5_Small.jpg	 -42.88207941858523	 147.3291285627857
ID_00093	 Epilepsy Tasmania	 Out of the	 2012	 <Null>	 Cnr Harrington & Liverpool Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/9f999e6b-1f71-4ce9-a4bd-a0b00100ed89/9118_2Small.jpg	 http://www.hobartcity.com.au/files/82af077c-7c56-4131-8ec6-a0b00100d740/9118_1_Small.jpg	 -42.8841304526127	 147.3241790450382
ID_00094	 Malou Zuidema	 Forests of the Sea	 2012	 <Null>	 Cnr Bathurst & Murray Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/06b37255-a453-4eff-ae15-a08d00f12134/9119-oceans-of-the-sea-front-malou-zuidema_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/59f91ffd-ff87-4125-91e6-a08d00f132e8/9119-oceans-of-the-sea-side-2-malou-zuidema_w430_h620_Small.jpg	 -42.8819844362505	 147.3242660774709
ID_00095	 Menzie Family	 The many layers of Bathurst Street	 2011	 <Null>	 Cnr Elizabeth & Bathurst Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/40c16cac-8778-48f2-9949-9ffa00ec9c08/9121_a.jpg	 http://www.hobartcity.com.au/files/eb2d63c6-1d7a-419c-b173-9ffa00ecbbd1/9121_b.jpg	 -42.88082135063647	 147.325835038753
ID_00096	 Sharnie Everett and Palawa Aboriginal Group	 Island & Ocean	 2012	 <Null>	 Elizabeth St at Pedestrian Crossing	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/23f439ff-7748-4aa0-8919-a08d00f1bf39/9123_palawa-front-1_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/acb7ef55-c2cd-49c4-af44-a08d00f1ceee/9123_palawa-right-side-back_w430_h620_Small.jpg	 -42.87362643008063	 147.3158825202121
ID_00097	 Caroline Amos	 Scotch Thistile Tavern 1828	 2012	 <Null>	 Cnr Barrack & Liverpool Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/8ae3587a-cd14-46ac-94c7-a08d00f1df8a/9129_dsc-2173_w430_h620_Small.jpg	 http://www.hobartcity.com.au/files/34665f06-c063-4933-8e8c-a08d00f1f02a/9129_dsc-2182_w430_h620_Small.jpg	 -42.88572371231743	 147.3224336640918
ID_00098	 Tasmanian eSchool	 Flicks	 2012	 <Null>	 Cnr Collins & Harrington Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/52eb38ff-77d2-4b1d-9959-a0b001010272/9131_2_Small.jpg	 http://www.hobartcity.com.au/files/a125faf2-2aa8-4377-9525-a0b0010119ae/9131_4_Small.jpg	 -42.88490453981891	 147.3252559336992
ID_00099	 Aspire	 Aspired	 2011	 <Null>	 Cnr Elizabeth & Melville Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/f30948ec-1a7d-4923-9da0-9f4b00efbd68/9134_1.jpg	 http://www.hobartcity.com.au/files/9089a973-9491-4b47-8418-9f4b00efbdc5/9134_2.jpg	 -42.88025218205794	 147.3244917632264
ID_00100	 Steffi Koppelmann	 Untitled	 2012	 <Null>	 Cnr Elizabeth & Warwick Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/796472d1-4fb9-4206-bef4-a0b001012e2c/9136_Small.jpg	 http://www.hobartcity.com.au/files/e9e6da3b-d172-4154-afdb-a0b0010f3b69/9136_2Small.jpg	 -42.87784150629451	 147.3190664947627
ID_00101	 Friends School Kindergarten	 Peace	 2012	 <Null>	 Cnr Elizabeth & Burnett Sts	 <Null>	 <Null>	 http://www.hobartcity.com.au/files/b2af3a3f-4cab-4274-a74e-a0b001014770/9137_2_Small.jpg	 http://www.hobartcity.com.au/files/416862dc-3043-4054-8e89-a0b0011097c5/9137_1_Small.jpg	 -42.87448353703269	 147.3171412871065
